model_slug,family,evaluated_model_id,parameters,attention_layers,bf16_ppl,mxint8_dense_ppl,mxint8_dense_vs_bf16_percent,mxint8_k32_ppl,mxint8_k32_vs_dense_percent,mxint8_k32_valid_block_sparsity_percent,mxint8_k32_causal_block_sparsity_percent,mxint8_k32_fallback_calls,mxint8_k40_ppl,mxint8_k40_vs_dense_percent,mxint8_k40_valid_block_sparsity_percent,mxint8_k40_causal_block_sparsity_percent,mxint8_k40_fallback_calls,mxint4_hadamard_dense_ppl,mxint4_hadamard_dense_vs_bf16_percent,mxint4_hadamard_k32_ppl,mxint4_hadamard_k32_vs_dense_percent,mxint4_hadamard_k32_valid_block_sparsity_percent,mxint4_hadamard_k32_causal_block_sparsity_percent,mxint4_hadamard_k32_fallback_calls,mxint4_hadamard_k40_ppl,mxint4_hadamard_k40_vs_dense_percent,mxint4_hadamard_k40_valid_block_sparsity_percent,mxint4_hadamard_k40_causal_block_sparsity_percent,mxint4_hadamard_k40_fallback_calls
qwen3_1_7b,qwen3,Qwen/Qwen3-1.7B,1720574976,28,16.106481332957895,16.041303152929505,-0.40467050922549097,16.88101551771044,5.234689206827858,25.384615384615383,25.384615384615383,0,16.391880154194016,2.1854645967493536,14.423076923076927,14.423076923076927,0,636.0407247557829,3848.973780227742,649.9688423233767,2.1898153727407665,25.384615384615383,25.384615384615383,0,637.9022283873544,0.2926705097832105,14.423076923076927,14.423076923076927,0
qwen3_4b,qwen3,Qwen/Qwen3-4B,4022468096,36,12.982951988407883,12.948285683217643,-0.26701404442682763,13.423822842600169,3.6725877928293738,25.384615384615383,25.384615384615383,0,13.142284683283815,1.4982601157589315,14.423076923076927,14.423076923076927,0,28.564162824394177,120.01285108269926,30.309477820420614,6.110156305844594,25.384615384615383,25.384615384615383,0,29.207185039227582,2.2511502219986435,14.423076923076927,14.423076923076927,0
qwen3_8b,qwen3,Qwen/Qwen3-8B,8190735360,36,9.357009635481827,9.324726372857063,-0.34501687913568446,9.626061331887524,3.2315689166773076,25.384615384615383,25.384615384615383,0,9.435044242088445,1.183068165437029,14.423076923076927,14.423076923076927,0,15.870129260144822,69.6068496067933,17.038431705183747,7.361644167403991,25.384615384615383,25.384615384615383,0,16.300883745747484,2.7142468630323657,14.423076923076927,14.423076923076927,0
llama3_2_1b,llama_compatible,unsloth/Llama-3.2-1B,1235814400,16,9.50831351405831,9.536877470298714,0.3004103324755869,10.48894098274226,9.982968905793488,25.384615384615383,25.384615384615383,0,9.981469568838309,4.661820390628013,14.423076923076927,14.423076923076927,0,93.49527855324877,883.3003341235369,105.40906808340573,12.742664351089816,25.384615384615383,25.384615384615383,0,99.5109056459433,6.434150671328731,14.423076923076927,14.423076923076927,0
smollm2_1_7b,llama_compatible,HuggingFaceTB/SmolLM2-1.7B,1711376384,24,7.987981074475809,8.020868577156367,0.41171232597989604,8.61111275606238,7.358856129210767,25.384615384615383,25.384615384615383,0,8.25919484288235,2.9713273996876177,14.423076923076927,14.423076923076927,0,27.17404149812441,240.186603407891,29.91718641067157,10.094725559083638,25.384615384615383,25.384615384615383,0,28.330234219291434,4.2547691010438315,14.423076923076927,14.423076923076927,0
llama3_2_3b,llama_compatible,unsloth/Llama-3.2-3B,3212749824,28,7.64353815454487,7.6590997856307705,0.20359198542951873,8.093271713402507,5.668707027244713,25.384615384615383,25.384615384615383,0,7.812919853566825,2.0083309036479147,14.423076923076927,14.423076923076927,0,15.792974444855268,106.61863819525412,16.910179162129005,7.074061451658187,25.384615384615383,25.384615384615383,0,16.17325966935021,2.4079392126086896,14.423076923076927,14.423076923076927,0
llama2_7b,llama_compatible,NousResearch/Llama-2-7b-hf,6738415616,32,5.531057211099209,5.537640122717571,0.11901723969067746,6.49277467073074,17.248042972219025,25.384615384615383,25.384615384615383,0,5.799816331374063,4.73443927099817,14.423076923076927,14.423076923076927,0,7.54451258560731,36.402721896777464,12.967774004877516,71.88352272903855,25.384615384615383,25.384615384615383,0,9.465972233852,25.468307282173065,14.423076923076927,14.423076923076927,0
mistral_7b,mistral,mistralai/Mistral-7B-v0.3,7248023552,32,5.295816343357213,5.298419787508727,0.04916039346378742,5.5052019251787305,3.9027133742309816,25.384615384615383,25.384615384615383,0,5.368227794783571,1.3175250371708858,14.423076923076927,14.423076923076927,0,7.747077920742175,46.28675577958234,7.774130738475793,0.3492002792586657,25.384615384615383,25.384615384615383,0,7.669873632317987,-0.9965601122647771,14.423076923076927,14.423076923076927,0
pythia_6_9b,gpt_neox,EleutherAI/pythia-6.9b,6857302016,32,10.303559958605064,11.263374615130573,9.31536925471974,11.804418618788487,4.803569286695897,25.384615384615383,25.384615384615383,0,11.491382597591864,2.0243309865144443,14.423076923076927,14.423076923076927,0,202.6100857860093,1866.4085675242625,219.4415086382943,8.307297628836618,25.384615384615383,25.384615384615383,0,207.4387458923106,2.383227906729779,14.423076923076927,14.423076923076927,0
gemma3_1b,gemma3,unsloth/gemma-3-1b-pt,999885952,26,14.143318436986956,14.290530267233246,1.0408577796092722,14.92090911811947,4.411164870009188,7.217058501913609,49.79289940828402,0,14.56808486721908,1.9422274386993177,4.100601421541827,48.10650887573964,0,69.36990950017024,390.478311785424,74.64907822566809,7.61017098556962,7.217058501913609,49.79289940828402,0,71.45502680183145,3.0057950438238557,4.100601421541827,48.10650887573964,0
