file,category,upstream_repository,upstream_url,upstream_path,upstream_revision,differing_lines,notice
cpu_cva6/pmp/Bender.yml,identical,cva6,https://github.com/openhwgroup/cva6,core/pmp/Bender.yml,20240827.feature.interconnect..v5.3.0,,
cpu_cva6/pmp/Makefile,unscanned,,,,,,"build, wave or ignore file without a source extension; not included in the content matching"
cpu_cva6/pmp/README.md,large,cva6,https://github.com/openhwgroup/cva6,.gitlab-ci/README.md,v5.0.0,216,adapted for the PKU_2602 SoC integration (216 differing lines against the upstream version)
cpu_cva6/pmp/formal.sby,unscanned,,,,,,"build, wave or ignore file without a source extension; not included in the content matching"
cpu_cva6/pmp/src/pmp.sv,identical,cva6,https://github.com/openhwgroup/cva6,core/pmp/src/pmp.sv,20240827.feature.interconnect..v5.1.0,,
cpu_cva6/pmp/src/pmp_entry.sv,identical,cva6,https://github.com/openhwgroup/cva6,core/pmp/src/pmp_entry.sv,20240827.feature.interconnect..v5.1.0,,
cpu_cva6/pmp/tb/pmp_tb.sv,identical,cva6,https://github.com/openhwgroup/cva6,core/pmp/tb/pmp_tb.sv,20240827.feature.interconnect..v5.3.0,,
cpu_cva6/pmp/tb/tb_pkg.sv,identical,cva6,https://github.com/openhwgroup/cva6,core/pmp/tb/tb_pkg.sv,20240827.feature.interconnect..v5.3.0,,
cpu_cva6/scoreboard.sv,identical,cva6,https://github.com/openhwgroup/cva6,core/scoreboard.sv,commit 738d53af1c34 (2023-12-13) .. before 0ce6b40b2658 (2024-01-18),,
cpu_cva6/serdiv.sv,identical,cva6,https://github.com/openhwgroup/cva6,core/serdiv.sv,commit 7cd183b710d1 (2023-10-18) .. before f332688fc015 (2024-02-23),,
cpu_cva6/store_buffer.sv,identical,cva6,https://github.com/openhwgroup/cva6,core/store_buffer.sv,commit 7cd183b710d1 (2023-10-18) .. before 0ce6b40b2658 (2024-01-18),,
cpu_cva6/store_unit.sv,identical,cva6,https://github.com/openhwgroup/cva6,core/store_unit.sv,commit 738d53af1c34 (2023-12-13) .. before 0ce6b40b2658 (2024-01-18),,
floo_noc/floo_axi_chimney.sv,medium,FlooNoC,https://github.com/pulp-platform/FlooNoC,hw/floo_axi_chimney.sv,v0.6.0,30,adapted for the PKU_2602 SoC integration (30 differing lines against the upstream version)
floo_noc/floo_axi_router.sv,identical,FlooNoC,https://github.com/pulp-platform/FlooNoC,hw/floo_axi_router.sv,reduction-vc-rebase..v0.8.0,,
floo_noc/floo_cdc.sv,small,FlooNoC,https://github.com/pulp-platform/FlooNoC,hw/floo_cdc.sv,v0.6.0,6,include paths adapted to this source tree; assertion includes removed (6 differing lines against the upstream version)
floo_noc/floo_cut.sv,identical,FlooNoC,https://github.com/pulp-platform/FlooNoC,hw/floo_cut.sv,reduction-vc-rebase..v0.8.0,,
floo_noc/floo_fifo.sv,identical,FlooNoC,https://github.com/pulp-platform/FlooNoC,hw/floo_fifo.sv,reduction-vc-rebase..v0.8.0,,
floo_noc/floo_meta_buffer.sv,medium,FlooNoC,https://github.com/pulp-platform/FlooNoC,hw/floo_meta_buffer.sv,v0.6.0,15,adapted for the PKU_2602 SoC integration (15 differing lines against the upstream version)
floo_noc/floo_nw_chimney.sv,large,FlooNoC,https://github.com/pulp-platform/FlooNoC,hw/floo_nw_chimney.sv,v0.6.0,63,adapted for the PKU_2602 SoC integration (63 differing lines against the upstream version)
floo_noc/floo_nw_join.sv,medium,FlooNoC,https://github.com/pulp-platform/FlooNoC,hw/floo_nw_join.sv,v0.6.0,11,adapted for the PKU_2602 SoC integration (11 differing lines against the upstream version)
floo_noc/floo_nw_router.sv,identical,FlooNoC,https://github.com/pulp-platform/FlooNoC,hw/floo_nw_router.sv,v0.6.0..v0.6.1,,
floo_noc/floo_nw_vc_chimney.sv,medium,FlooNoC,https://github.com/pulp-platform/FlooNoC,hw/floo_nw_vc_chimney.sv,v0.6.0,50,adapted for the PKU_2602 SoC integration (50 differing lines against the upstream version)
floo_noc/floo_nw_vc_router.sv,identical,FlooNoC,https://github.com/pulp-platform/FlooNoC,hw/floo_nw_vc_router.sv,reduction-vc-rebase..v0.8.4,,
floo_noc/floo_pkg.sv,medium,FlooNoC,https://github.com/pulp-platform/FlooNoC,hw/floo_pkg.sv,v0.6.0,16,adapted for the PKU_2602 SoC integration (16 differing lines against the upstream version)
floo_noc/floo_rob.sv,include-path,FlooNoC,https://github.com/pulp-platform/FlooNoC,hw/floo_rob.sv,reduction-vc-rebase..v0.8.4,,include paths adapted to the flat source tree of this project (common_cells -> misc_common)
floo_noc/floo_rob_wrapper.sv,identical,FlooNoC,https://github.com/pulp-platform/FlooNoC,hw/floo_rob_wrapper.sv,reduction-vc-rebase..v0.8.4,,
floo_noc/floo_route_comp.sv,small,FlooNoC,https://github.com/pulp-platform/FlooNoC,hw/floo_route_comp.sv,v0.6.0,3,include paths adapted to this source tree; assertion includes removed (3 differing lines against the upstream version)
floo_noc/floo_route_select.sv,small,FlooNoC,https://github.com/pulp-platform/FlooNoC,hw/floo_route_select.sv,v0.6.0,2,minor local edits (2 differing lines against the upstream version)
floo_noc/floo_router.sv,medium,FlooNoC,https://github.com/pulp-platform/FlooNoC,hw/floo_router.sv,v0.6.0,31,adapted for the PKU_2602 SoC integration (31 differing lines against the upstream version)
floo_noc/floo_simple_rob.sv,small,FlooNoC,https://github.com/pulp-platform/FlooNoC,hw/floo_simple_rob.sv,v0.6.0,4,include paths adapted to this source tree; assertion includes removed (4 differing lines against the upstream version)
floo_noc/floo_vc_arbiter.sv,identical,FlooNoC,https://github.com/pulp-platform/FlooNoC,hw/floo_vc_arbiter.sv,v0.5.0..v0.7.0,,
floo_noc/floo_vc_router.sv,medium,FlooNoC,https://github.com/pulp-platform/FlooNoC,hw/floo_vc_router.sv,v0.6.0,12,adapted for the PKU_2602 SoC integration (12 differing lines against the upstream version)
floo_noc/floo_wormhole_arbiter.sv,include-path,FlooNoC,https://github.com/pulp-platform/FlooNoC,hw/floo_wormhole_arbiter.sv,v0.2.0..v0.6.1,,include paths adapted to the flat source tree of this project (common_cells -> misc_common)
floo_noc/tb/tb_floo_axi_chimney.sv,identical,FlooNoC,https://github.com/pulp-platform/FlooNoC,hw/tb/tb_floo_axi_chimney.sv,reduction-vc-rebase..v0.8.0,,
floo_noc/tb/tb_floo_axi_mesh.sv,identical,FlooNoC,https://github.com/pulp-platform/FlooNoC,hw/tb/tb_floo_axi_mesh.sv,reduction-vc-rebase..v0.8.4,,
floo_noc/tb/tb_floo_dma_chimney.sv,identical,FlooNoC,https://github.com/pulp-platform/FlooNoC,hw/tb/tb_floo_dma_chimney.sv,reduction-vc-rebase..v0.8.4,,
floo_noc/tb/tb_floo_nw_chimney.sv,identical,FlooNoC,https://github.com/pulp-platform/FlooNoC,hw/tb/tb_floo_nw_chimney.sv,v0.6.0..v0.6.1,,
floo_noc/tb/tb_floo_nw_mesh.sv,identical,FlooNoC,https://github.com/pulp-platform/FlooNoC,hw/tb/tb_floo_nw_mesh.sv,reduction-vc-rebase..v0.8.4,,
floo_noc/tb/tb_floo_rob.sv,identical,FlooNoC,https://github.com/pulp-platform/FlooNoC,hw/tb/tb_floo_rob.sv,v0.6.0..v0.6.1,,
floo_noc/tb/tb_floo_router.sv,identical,FlooNoC,https://github.com/pulp-platform/FlooNoC,hw/tb/tb_floo_router.sv,reduction-vc-rebase..v0.8.0,,
floo_noc/tb/tb_floo_vc_router.sv,identical,FlooNoC,https://github.com/pulp-platform/FlooNoC,hw/tb/tb_floo_vc_router.sv,reduction-vc-rebase..v0.8.4,,
floo_noc/tb/tb_mesh_3x3_id_system.sv,unidentified,,,,,,adapted for the PKU_2602 SoC integration (upstream revision not identified by content matching)
floo_noc/tb/tb_mesh_3x3_system.sv,unidentified,,,,,,adapted for the PKU_2602 SoC integration (upstream revision not identified by content matching)
floo_noc/tb/tb_star_3x3_system.sv,unidentified,,,,,,adapted for the PKU_2602 SoC integration (upstream revision not identified by content matching)
floo_noc/tb/wave/tb_floo_axi_chimney.wave.tcl,unscanned,,,,,,"build, wave or ignore file without a source extension; not included in the content matching"
floo_noc/tb/wave/tb_floo_axi_mesh.wave.tcl,unscanned,,,,,,"build, wave or ignore file without a source extension; not included in the content matching"
floo_noc/tb/wave/tb_floo_nw_chimney.wave.tcl,unscanned,,,,,,"build, wave or ignore file without a source extension; not included in the content matching"
floo_noc/tb/wave/tb_floo_nw_mesh.wave.tcl,unscanned,,,,,,"build, wave or ignore file without a source extension; not included in the content matching"
floo_noc/tb/wave/tb_floo_rob.wave.tcl,unscanned,,,,,,"build, wave or ignore file without a source extension; not included in the content matching"
floo_noc/tb/wave/wave.tcl,unscanned,,,,,,"build, wave or ignore file without a source extension; not included in the content matching"
